X(mm),,Measured heigth (um)
-46,,-6216.087094
-45,,-6035.154628
-44,,-5849.858839
-43,,-5654.430444
-42,,-5460.650416
-41,,-5268.809642
-40,,-5075.223539
-39,,-4888.909642
-38,,-4704.825887
-37,,-4523.457089
-36,,-4347.663648
-35,,-4170.270322
-34,,-3995.737397
-33,,-3830.270488
-32,,-3664.997504
-31,,-3495.021827
-30,,-3332.172912
-29,,-3172.572248
-28,,-3006.572043
-27,,-2845.856308
-26,,-2691.394669
-25,,-2538.726841
-24,,-2389.695116
-23,,-2236.445511
-22,,-2084.844273
-21,,-1930.043264
-20,,-1786.974747
-19,,-1643.372935
-18,,-1505.734331
-17,,-1363.586959
-16,,-1218.870076
-15,,-1077.207518
-14,,-930.745305
-13,,-791.409853
-12,,-660.4616778
-11,,-522.4352228
-10,,-390.8567897
-9,,-263.3507916
-8,,-128.2332187
-7,,6.011689646
-6,,133.3237623
-5,,261.1206486
-4,,3.88E+02
-3,,515.8902381
-2,,642.4266088
-1,,764.3572496
0,,887.6938501
1,,1009.139677
2,,1130.876393
3,,1252.176776
4,,1372.846901
5,,1493.323101
6,,1611.326751
7,,1729.766733
8,,1845.588721
9,,1963.980222
10,,2079.317397
11,,2194.266721
12,,2306.404125
13,,2421.983707
14,,2535.86644
15,,2650.961208
16,,2762.516836
17,,2868.739514
18,,2981.167807
19,,3090.978105
20,,3197.734078
21,,3308.223116
22,,3417.936452
23,,3521.832024
24,,3628.200145
25,,3737.380186
26,,3842.730199
27,,3943.571445
28,,4050.327417
29,,4154.029064
30,,4255.403605
31,,4347.615167
32,,4447.826155
33,,4547.309922
34,,4642.236441
35,,4744.386683
36,,4840.622199
37,,4948.153874
38,,5052.873629
39,,5165.25344
40,,5272.348782
41,,5376.438279
42,,5479.267261
43,,5581.805355
44,,5674.11388
45,,5773.209796
46,,5863.433622
47,,5954.384669
48,,6045.917492
49,,6134.153582
